probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(0.4, 0.5]",1,0.4803434288459093,0.0,0.0,0.7934506856227626,0.4199818116908792,0.4721515936434601
"(0.5, 0.6]",22,0.5560209339702546,0.045454545454545456,0.00806942762126385,0.21798045838657332,0.4199818116908792,0.4721515936434601
"(0.6, 0.7]",34,0.6611386258089889,0.08823529411764706,0.030465943674648555,0.22960486562808868,0.4199818116908792,0.4721515936434601
"(0.7, 0.8]",56,0.7543222862630394,0.17857142857142858,0.09999856752412305,0.2984118203665106,0.4199818116908792,0.4721515936434601
"(0.8, 0.9]",111,0.853206896440528,0.38738738738738737,0.30197741698369296,0.4803311651544585,0.4199818116908792,0.4721515936434601
"(0.9, 1.0]",96,0.9369685330893884,0.5625,0.46275882627554077,0.6574317252422498,0.4199818116908792,0.4721515936434601
