false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.17137549836897426,0.0915915915915916,0.17319681043856472,0.10510510510510511,0.17220913374411018,0.09009009009009009
0.002,0.20196629213483147,0.16066066066066065,0.2124229793403407,0.16066066066066065,0.21403588256614717,0.14114114114114115
0.003,0.2333363537513592,0.2087087087087087,0.24238854657484593,0.2147147147147147,0.24280536426241392,0.17867867867867868
0.004,0.2705328017397608,0.26126126126126126,0.26246828561072855,0.2732732732732733,0.2767760057992026,0.22672672672672672
0.005,0.29748097136643714,0.2912912912912913,0.28520297209133744,0.2897897897897898,0.29846864806089163,0.2732732732732733
0.006,0.31376404494382026,0.3108108108108108,0.3171982602392171,0.3213213213213213,0.3190195723088075,0.3123123123123123
0.007,0.3525733961580283,0.34234234234234234,0.33124320405944185,0.3483483483483483,0.3379032258064516,0.32432432432432434
0.008,0.3714570496556724,0.36786786786786785,0.36901051105472993,0.36036036036036034,0.36344690105110544,0.34534534534534533
0.009000000000000001,0.40204784342152955,0.37537537537537535,0.3871148967017035,0.38288288288288286,0.38794853207683944,0.37237237237237236
0.01,0.4146882928597318,0.3948948948948949,0.39294128307357734,0.3993993993993994,0.4088619064878579,0.3843843843843844
0.011,0.4205146792316057,0.4114114114114114,0.410212033345415,0.4114114114114114,0.41609278724175425,0.40540540540540543
0.012,0.4432493657122146,0.4174174174174174,0.4367977528089888,0.4144144144144144,0.4398151504168176,0.4189189189189189
0.013000000000000001,0.45469372961217835,0.42492492492492495,0.4570859006886553,0.43093093093093093,0.45125951431678146,0.42342342342342343
0.014,0.47435665096049295,0.44144144144144143,0.4675425878941646,0.43843843843843844,0.4570859006886553,0.42792792792792794
0.015,0.4759695541862994,0.46846846846846846,0.47919536063791224,0.45345345345345345,0.46873867343240305,0.44294294294294295
0.016,0.48179594055817326,0.4804804804804805,0.49386553098948893,0.466966966966967,0.48059985501993474,0.4594594594594595
0.017,0.4882475534613991,0.4894894894894895,0.5029177238129757,0.47897897897897895,0.49105654222544404,0.4774774774774775
0.018000000000000002,0.5067143892714752,0.5045045045045045,0.513166002174701,0.509009009009009,0.5025009061254078,0.4924924924924925
0.019,0.5125407756433491,0.5135135135135135,0.5145704965567235,0.515015015015015,0.512957593330917,0.5075075075075075
0.02,0.5218013773106198,0.53003003003003,0.5194092062341428,0.524024024024024,0.5203968829285973,0.524024024024024
0.021,0.5262232693004711,0.5480480480480481,0.5240395070677781,0.545045045045045,0.5262232693004711,0.5480480480480481
0.022,0.5334541500543675,0.5615615615615616,0.5352754621239579,0.5585585585585585,0.537876042044219,0.5570570570570571
0.023,0.5334541500543675,0.5855855855855856,0.5429231605654222,0.566066066066066,0.5392805364262414,0.5765765765765766
0.024,0.5406850308082639,0.5900900900900901,0.5471366437114897,0.575075075075075,0.5437024284160927,0.5870870870870871
0.025,0.5597770931496919,0.6051051051051051,0.5555636100036245,0.5885885885885885,0.5485411380935121,0.5960960960960962
0.026000000000000002,0.5641989851395433,0.6186186186186187,0.5646158028271113,0.6051051051051051,0.5499456324755346,0.5975975975975976
0.027,0.5712214570496557,0.6201201201201201,0.5750724900326205,0.6201201201201201,0.5555636100036245,0.6081081081081081
0.028,0.575851757883291,0.6216216216216216,0.5851123595505618,0.6261261261261262,0.5639905762957593,0.6111111111111112
0.029,0.5802736498731424,0.6246246246246246,0.5881297571583908,0.6291291291291291,0.5726259514316782,0.6216216216216216
0.03,0.5947354113809351,0.6336336336336337,0.597961217832548,0.6351351351351351,0.5802736498731424,0.6261261261261262
0.031,0.5993657122145706,0.6381381381381381,0.6021747009786155,0.6411411411411412,0.5931225081551286,0.6261261261261262
0.032,0.6054005074302283,0.6411411411411412,0.6065965929684669,0.6456456456456456,0.5975444001449801,0.6306306306306306
