scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.7950714356938648,0.7953476634050881,0.6745,0.6745,0.3808,0.1809879966381967,0.18113612004287247,0.7719427543958686,0.7725714285714286,0.29322670311009846,0.2934664640764055,0.44570318491994243,0.41715137945300096,0.4742549903868839,,,,,,,,,,,,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,140,280,0.800115982231117,0.8006641722113503,0.6468,0.6468,0.3366,0.1775872648149735,0.17108195097796483,0.7902606159443015,0.7897142857142857,0.2879318779428851,0.28123728123728126,0.3783059530131056,0.3421602536297883,0.4144516523964229,,,,,,,,,,,,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,140,280,0.7805656509739672,0.7808847906066536,0.6279,0.6279,0.2918,0.16875120138100133,0.16279620853080567,0.7857863430136528,0.7851428571428571,0.2759142486483206,0.26967615309126597,0.46676457335600174,0.4170550091318612,0.5164741375801423,,,,,,,,,,,,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,13.0,bench,447.0,0.8181561337486262,0.6724,0.18772941793392764,0.8008948545861297,0.30416312659303313,0.41715137945300096,0.0,0.0,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,140,280,,,,,,,,,,,,,,,13.0,bench,447.0,0.819731907226398,0.7228,0.21072088724584104,0.7651006711409396,0.33043478260869563,0.4144516523964229,0.0015757734777718246,0.0504,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,140,280,,,,,,,,,,,,,,,13.0,bench,447.0,0.8099048197441912,0.7064,0.1991750147318798,0.756152125279642,0.31529850746268656,0.5164741375801423,-0.008251314004435018,0.03400000000000003,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,24.0,backpack,428.0,0.7719867376391034,0.6766,0.17424657534246576,0.7429906542056075,0.2822902796271638,0.4742549903868839,0.0,0.0,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,140,280,,,,,,,,,,,,,,,24.0,backpack,428.0,0.780500057235836,0.5708,0.14445364238410596,0.8154205607476636,0.24542897327707455,0.3421602536297883,0.008513319596732627,-0.1058,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,140,280,,,,,,,,,,,,,,,24.0,backpack,428.0,0.7512264822037433,0.5494,0.13832738803012287,0.8154205607476636,0.2365299898339546,0.4170550091318612,-0.020760255435360087,-0.12719999999999998,0.01,1.0,0.001,staged_maximum_cv_macro_roc_auc
