probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(0.1, 0.2]",3,0.16643044991589456,0.0,5.551115123125783e-17,0.5614970317550454,0.27910537321716417,0.34104339066872286
"(0.2, 0.3]",7,0.27055296162122616,0.0,5.551115123125783e-17,0.35433043506668743,0.27910537321716417,0.34104339066872286
"(0.3, 0.4]",33,0.3506191132855731,0.030303030303030304,0.00536941053687183,0.1531872538211892,0.27910537321716417,0.34104339066872286
"(0.4, 0.5]",26,0.45300121615359346,0.15384615384615385,0.06150033723578355,0.3353119932821348,0.27910537321716417,0.34104339066872286
"(0.5, 0.6]",20,0.5515670442153903,0.05,0.008881448800795402,0.23613119344674205,0.27910537321716417,0.34104339066872286
"(0.6, 0.7]",37,0.6502092940372183,0.2972972972972973,0.17489478649832016,0.45783135911135664,0.27910537321716417,0.34104339066872286
"(0.7, 0.8]",27,0.750971859645129,0.2962962962962963,0.1585304046977976,0.4848068296414814,0.27910537321716417,0.34104339066872286
"(0.8, 0.9]",33,0.8488553146403282,0.48484848484848486,0.32504042108133696,0.6478162455108585,0.27910537321716417,0.34104339066872286
"(0.9, 1.0]",54,0.9579859067360312,0.7037037037037037,0.5717242709884697,0.8086257486782021,0.27910537321716417,0.34104339066872286
