scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9181427666252482,0.917403145582799,0.6972,0.6972,0.3972,0.25672726002759005,0.24734982332155478,0.9542897816048054,0.9551656920077972,0.40408176862179107,0.39294306335204493,0.4381249353162302,0.4373301101017159,0.4389197605307445,,,,,,,,,,,,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,40,80,0.9167568562618997,0.9168435910368745,0.6602,0.6602,0.3404,0.24009869099154812,0.22697974217311234,0.9586125481754105,0.9610136452241715,0.3830343124259087,0.36722532588454376,0.14296141233115245,0.13950948887962936,0.14641333578267557,,,,,,,,,,,,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,40,80,0.8819372249516826,0.8719654049319868,0.6769000000000001,0.6769,0.3614,0.24557560176342258,0.2318170761371929,0.9246250130203812,0.928849902534113,0.3869304831049664,0.37103367724352737,0.5418949377571931,0.41192111005962057,0.6718687654547656,,,,,,,,,,,,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,2.0,car,694.0,0.8888144148437072,0.5612,0.2347949080622348,0.9567723342939481,0.37705848949460535,0.4373301101017159,0.0,0.0,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,40,80,,,,,,,,,,,,,,,2.0,car,694.0,0.8864904007677779,0.4956,0.21148989898989898,0.9654178674351584,0.3469704816157431,0.13950948887962936,-0.0023240140759293038,-0.06560000000000005,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,40,80,,,,,,,,,,,,,,,2.0,car,694.0,0.8341329904924567,0.5192,0.2159468438538206,0.9365994236311239,0.3509719222462203,0.41192111005962057,-0.05468142435125045,-0.04200000000000004,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,44.0,spoon,332.0,0.9474711184067891,0.8332,0.2786596119929453,0.9518072289156626,0.4311050477489768,0.4389197605307445,0.0,0.0,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,40,80,,,,,,,,,,,,,,,44.0,spoon,332.0,0.9470233117560216,0.8248,0.2687074829931973,0.9518072289156626,0.41909814323607425,0.14641333578267557,-0.0004478066507674905,-0.008400000000000074,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,40,80,,,,,,,,,,,,,,,44.0,spoon,332.0,0.9297414594109085,0.8346,0.27520435967302453,0.9126506024096386,0.4228890439637125,0.6718687654547656,-0.017729658995880637,0.0013999999999999568,0.001,10.0,0.001,staged_maximum_cv_macro_roc_auc
