averaging,model,false_positive_rate,mean_true_positive_rate,ci95_low,ci95_high,run_count
macro,M_0,0.145,0.8529515563162544,0.7705018492655652,0.9354012633669436,10
macro,M_0,0.146,0.8535347272170982,0.7715751978207298,0.9354942566134666,10
macro,M_0,0.147,0.8544878078962345,0.7723714196782246,0.9366041961142443,10
macro,M_0,0.148,0.8551425360648324,0.77336543567405,0.9369196364556147,10
macro,M_0,0.149,0.8562655090171457,0.7746606094299173,0.9378704086043741,10
macro,M_0,0.15,0.8569383496858303,0.7759612723780018,0.9379154269936587,10
macro,M_0,0.151,0.8579624254230686,0.7772079085711763,0.9387169422749608,10
macro,M_0,0.152,0.8589002989621832,0.7782415783274641,0.9395590195969024,10
macro,M_0,0.153,0.8597107687235879,0.7790759778407031,0.9403455596064726,10
macro,M_0,0.154,0.8601952633867793,0.7796728268626911,0.9407176999108675,10
macro,M_0,0.155,0.8615694383904484,0.7807400937749199,0.9423987830059769,10
macro,M_0,0.156,0.8622015562564853,0.7818819092761311,0.9425212032368395,10
macro,M_0,0.157,0.8624264201970776,0.7823169848010433,0.9425358555931119,10
macro,M_0,0.158,0.8630591561518463,0.7831990608782949,0.9429192514253976,10
macro,M_0,0.159,0.8635415951962271,0.7839827513236922,0.943100439068762,10
macro,M_0,0.16,0.8646614712638288,0.7854995044659728,0.9438234380616847,10
macro,M_0,0.161,0.8652147351549477,0.7862909236885716,0.9441385466213239,10
macro,M_0,0.162,0.8659662325884618,0.7875356927169801,0.9443967724599436,10
macro,M_0,0.163,0.8672273055627702,0.7893281688434823,0.945126442282058,10
macro,M_0,0.164,0.867946817801915,0.7908111083256802,0.9450825272781497,10
macro,M_0,0.165,0.8687502552580622,0.79224951982577,0.9452509906903543,10
macro,M_0,0.166,0.8694350471923723,0.793385860513387,0.9454842338713576,10
macro,M_0,0.167,0.8702259610920027,0.7941991071247323,0.9462528150592731,10
macro,M_0,0.168,0.8703351267263828,0.7943241617336186,0.946346091719147,10
macro,M_0,0.169,0.8707512130152869,0.7947950896148547,0.9467073364157191,10
macro,M_0,0.17,0.8715136134157098,0.7958595533810032,0.9471676734504163,10
macro,M_0,0.171,0.8720364959447153,0.7964986600155379,0.9475743318738927,10
macro,M_0,0.172,0.8728038642425646,0.7974324799017796,0.9481752485833497,10
macro,M_0,0.173,0.8735408667636839,0.7986481471855618,0.9484335863418061,10
