false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.09085633901881485,0.07584269662921349,0.09097942676279233,0.07209737827715355,0.08951995779848779,0.07865168539325842
0.002,0.1355078834769357,0.11142322097378277,0.12286501377410469,0.10112359550561797,0.118896899361116,0.11423220973782772
0.003,0.142435965066526,0.12640449438202248,0.1353847957329582,0.12172284644194757,0.1592520954223082,0.13670411985018727
0.004,0.18295527811968817,0.16292134831460675,0.1639704589414454,0.149812734082397,0.16964421780669364,0.17415730337078653
0.005,0.190551550319442,0.17134831460674158,0.20082058495984995,0.1601123595505618,0.2012308774397749,0.18352059925093633
0.006,0.2114178535841979,0.1900749063670412,0.20503487486079364,0.18445692883895132,0.2172147001934236,0.20037453183520598
0.007,0.23169802473477522,0.2153558052434457,0.22744270558583904,0.19756554307116106,0.23929429693452903,0.20973782771535582
0.008,0.25598733954633374,0.22659176029962547,0.2545688998300217,0.21722846441947566,0.26078776156145594,0.2247191011235955
0.009000000000000001,0.2637066994900651,0.24250936329588016,0.26366567024207255,0.24250936329588016,0.2733896020162945,0.2406367041198502
0.01,0.2858683547271555,0.25280898876404495,0.2927964363167458,0.26217228464419473,0.29555125725338494,0.2612359550561798
0.011,0.2956743449973624,0.27247191011235955,0.3068167164878964,0.2687265917602996,0.3053162182755993,0.27153558052434457
0.012,0.31098997714084753,0.28651685393258425,0.3158724576519547,0.2893258426966292,0.3172088388722818,0.29119850187265917
0.013000000000000001,0.32280053924154506,0.299625468164794,0.32559638942617664,0.2958801498127341,0.33532032120039856,0.3089887640449438
0.014,0.33540237969638353,0.3136704119850187,0.3373659222788816,0.30430711610486894,0.34441709161244943,0.32209737827715357
0.015,0.35914659164175605,0.3258426966292135,0.3484672645214231,0.3146067415730337,0.36169626633843266,0.3398876404494382
0.016,0.37296172557294416,0.34269662921348315,0.36394701365687826,0.3267790262172285,0.3791395580563859,0.3548689138576779
0.017,0.3834359064533146,0.3539325842696629,0.3709571537424535,0.33801498127340823,0.3966649082703242,0.37359550561797755
0.018000000000000002,0.393282925971514,0.3717228464419476,0.39315983822753653,0.35674157303370785,0.4125256432799953,0.3857677902621723
0.019,0.40993493933532615,0.3913857677902622,0.4084754703710216,0.3698501872659176,0.4388605591700369,0.4091760299625468
0.02,0.43084227184807455,0.40262172284644193,0.4244182638766778,0.38108614232209737,0.4542582498095071,0.41947565543071164
0.021,0.4573002754820936,0.4204119850187266,0.4390657054099994,0.40074906367041196,0.47099232166930427,0.43352059925093633
0.022,0.47607994842037393,0.4288389513108614,0.45233573647500147,0.4288389513108614,0.4738292011019284,0.4419475655430712
0.023,0.490141257839517,0.45318352059925093,0.4727389953695563,0.4363295880149813,0.48789051052107146,0.448501872659176
0.024,0.4922689174139851,0.4653558052434457,0.49277299103217864,0.4438202247191011,0.5012426000820585,0.45692883895131087
