scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9755753267427171,0.9764251690537021,0.9371,0.9371,0.8776,0.5051707061291074,0.5029838022165388,0.929406850459482,0.9276729559748428,0.652390742610443,0.652294085129906,0.468144729162315,0.3515681537605861,0.5847213045640439,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,80,160,0.9804367726962866,0.9810823735489053,0.9831000000000001,0.9831,0.9688,0.8630907142161162,0.8642745709828393,0.871046664279747,0.8710691823899371,0.8665928768201495,0.8676585747846516,0.6154093705520332,0.5961822174150664,0.6346365236889999,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,80,160,0.9583712459422201,0.9581214285138587,0.8851,0.8851,0.7738,0.3507224062652434,0.3452021726010863,0.8999880654015993,0.89937106918239,0.5039593900755426,0.4989097252507632,0.5961867476819604,0.5899774972867892,0.6023959980771318,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,17.0,horse,342.0,0.9686315940129413,0.9436,0.5535714285714286,0.9064327485380117,0.6873614190687362,0.5847213045640439,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,80,160,,,,,,,,,,,,,,,17.0,horse,342.0,0.975352094993459,0.9848,0.9030303030303031,0.8713450292397661,0.8869047619047619,0.6346365236889999,0.006720500980517685,0.041200000000000014,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,80,160,,,,,,,,,,,,,,,17.0,horse,342.0,0.9467093022379909,0.861,0.31671858774662515,0.8918128654970761,0.4674329501915709,0.5899774972867892,-0.02192229177495042,-0.0826,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,19.0,cow,294.0,0.9825190594724929,0.9306,0.4567699836867863,0.9523809523809523,0.61742006615215,0.3515681537605861,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,80,160,,,,,,,,,,,,,,,19.0,cow,294.0,0.9855214503991142,0.9814,0.8231511254019293,0.8707482993197279,0.8462809917355372,0.5961822174150664,0.0030023909266213566,0.05080000000000007,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,80,160,,,,,,,,,,,,,,,19.0,cow,294.0,0.9700331896464494,0.9092,0.38472622478386165,0.9081632653061225,0.5404858299595142,0.6023959980771318,-0.012485869826043494,-0.021399999999999975,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
