probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(0.5, 0.6]",1,0.5973749025162982,0.0,0.0,0.7934506856227626,0.3975026609619197,0.47391277211971505
"(0.6, 0.7]",24,0.660689752062136,0.0,1.3877787807814457e-17,0.13797620467498017,0.3975026609619197,0.47391277211971505
"(0.7, 0.8]",30,0.7546825626516609,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.3975026609619197,0.47391277211971505
"(0.8, 0.9]",32,0.84375865558608,0.28125,0.15564580497742764,0.45374509425916565,0.3975026609619197,0.47391277211971505
"(0.9, 1.0]",73,0.9689227497101707,0.6986301369863014,0.5856263409869292,0.7917740942087393,0.3975026609619197,0.47391277211971505
