false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08406510694348616,0.088,0.1326601016119927,0.14057142857142857,0.08513401910974513,0.088
0.002,0.10800194442702127,0.10057142857142858,0.15309226619833155,0.15428571428571428,0.10337870329716281,0.09371428571428571
0.003,0.11496163415501057,0.10971428571428571,0.16890118965481193,0.16228571428571428,0.1169504902883188,0.10742857142857143
0.004,0.12532668464738966,0.12571428571428572,0.1778993915825127,0.17142857142857143,0.12381086788350165,0.11314285714285714
0.005,0.13777990340588345,0.13142857142857142,0.18704656170942316,0.18971428571428572,0.1408873277718539,0.128
0.006,0.14570919316732525,0.1417142857142857,0.1916698028392816,0.20457142857142857,0.1454112567689059,0.1417142857142857
0.007,0.15480670722783246,0.15657142857142858,0.20797528695979428,0.2102857142857143,0.14774770536703674,0.15314285714285714
0.008,0.16161742875661209,0.1657142857142857,0.21249921595684626,0.21942857142857142,0.16151811662380564,0.15885714285714286
0.009000000000000001,0.17548715214618746,0.17257142857142857,0.22052781785109452,0.224,0.16735923811913272,0.17714285714285713
0.01,0.18453501014029144,0.18057142857142858,0.2252007150473562,0.23314285714285715,0.1763574400468335,0.18514285714285714
0.011,0.19485040456626734,0.18857142857142858,0.23994072633757763,0.2377142857142857,0.184435698007485,0.19428571428571428
0.012,0.19601862886533275,0.19542857142857142,0.2410592945702398,0.24114285714285713,0.19129607560266781,0.1977142857142857
0.013000000000000001,0.20623471115850217,0.2022857142857143,0.2571164983587363,0.24571428571428572,0.20603608689288924,0.20914285714285713
0.014,0.21202617658742604,0.21714285714285714,0.2582847226578017,0.2571428571428571,0.21990581028246461,0.21371428571428572
0.015,0.21655010558447801,0.21828571428571428,0.2616900834221916,0.26971428571428574,0.2267165318112442,0.22057142857142858
0.016,0.22559796357858203,0.23657142857142857,0.26631332455205003,0.28114285714285714,0.23479478977189572,0.22742857142857142
0.017,0.24277373559974075,0.24114285714285713,0.2766287189780259,0.288,0.24038763093520665,0.2377142857142857
0.018000000000000002,0.2473969767295992,0.25142857142857145,0.28242018440694977,0.2914285714285714,0.24622875243053377,0.24571428571428572
0.019,0.26121704405277135,0.256,0.2926859227665224,0.29942857142857143,0.24958445712852034,0.25485714285714284
0.02,0.266958853415292,0.26285714285714284,0.30752524618955024,0.304,0.2564448347237032,0.2582857142857143
0.021,0.270413870246085,0.2674285714285714,0.31336636768487736,0.30857142857142855,0.25985019548809296,0.26171428571428573
0.022,0.2771749357084614,0.27314285714285713,0.3213949695791256,0.31085714285714283,0.268898053482197,0.2651428571428571
0.023,0.279461728240189,0.28114285714285714,0.3237314181772565,0.31885714285714284,0.27824384787472034,0.26971428571428574
0.024,0.2828670890045788,0.2834285714285714,0.32942357147337387,0.32571428571428573,0.28164920863911014,0.2754285714285714
0.025,0.28749033013443726,0.29028571428571426,0.336134980869347,0.3394285714285714,0.28276777687177235,0.27885714285714286
0.026000000000000002,0.2921135712642957,0.2914285714285714,0.33954034163373686,0.3394285714285714,0.28617313763616214,0.2822857142857143
0.027,0.29775606849400993,0.296,0.34533180706266076,0.3417142857142857,0.29069706663321415,0.2925714285714286
0.028,0.2989242927930753,0.3028571428571429,0.3522418407242468,0.34514285714285714,0.2953203077630726,0.29942857142857143
