scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9375209426508522,0.9387292208630839,0.7443,0.7443,0.497,0.3002023323400655,0.291164095371669,0.9753824512045015,0.9719101123595506,0.4587191308203228,0.4480897906324196,0.321829879337162,0.28688382191967227,0.3567759367546517,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,20,36,0.9384900162034042,0.9394691015429102,0.781,0.781,0.5662,0.32337029223604846,0.3219047619047619,0.9583611746087568,0.949438202247191,0.4835545239739866,0.48079658605974396,0.3328550753443955,0.24622719973356966,0.41948295095522137,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,20,36,0.9357230976104571,0.9365109415961798,0.7387999999999999,0.7388,0.4854,0.29466107456599167,0.2860310421286031,0.9711271320555653,0.9662921348314607,0.4518189899602708,0.4414029084687767,0.3735048766061494,0.3725414521510697,0.3744683010612291,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,2.0,car,705.0,0.9038079904886929,0.639,0.2764227642276423,0.9645390070921985,0.4296998420221169,0.3567759367546517,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,20,36,,,,,,,,,,,,,,,2.0,car,705.0,0.905561967981902,0.7096,0.3186012627489072,0.9304964539007092,0.47467438494934877,0.41948295095522137,0.0017539774932091579,0.0706,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,20,36,,,,,,,,,,,,,,,2.0,car,705.0,0.9014836648255022,0.6324,0.27166465135026197,0.9560283687943263,0.42310106716886375,0.3744683010612291,-0.0023243256631906295,-0.00660000000000005,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,42.0,fork,363.0,0.9712338948130114,0.8496,0.3239819004524887,0.9862258953168044,0.4877384196185286,0.28688382191967227,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,20,36,,,,,,,,,,,,,,,42.0,fork,363.0,0.9714180644249065,0.8524,0.3281393217231897,0.9862258953168044,0.4924346629986245,0.24622719973356966,0.00018416961189515746,0.0028000000000000247,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,20,36,,,,,,,,,,,,,,,42.0,fork,363.0,0.9699625303954121,0.8452,0.31765749778172137,0.9862258953168044,0.48053691275167787,0.3725414521510697,-0.00127136441759923,-0.0044000000000000705,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
