scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9729677351614883,0.9789126530678526,0.8821,0.8821,0.765,0.40348943013422356,0.3439635535307517,0.9553416211845562,0.9572107765451664,0.547494417614374,0.5060745705906996,0.5277426891925108,0.527576940663808,0.5279084377212135,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,120,233,0.9776826509440597,0.981707722419369,0.9216,0.9216,0.844,0.49960993730013814,0.44312267657992566,0.9420911663634526,0.9445324881141046,0.6337861428256115,0.6032388663967612,0.44443581755108585,0.4121144783864272,0.4767571567157446,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,120,233,0.9655453555155246,0.9710337172578617,0.7574000000000001,0.7574,0.5188,0.2783495108239608,0.20172814888667331,0.9609915100060642,0.9619651347068146,0.4088805711731112,0.3335164835164835,0.505040429026451,0.4246346143906411,0.5854462436622608,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,53.0,pizza,340.0,0.9908943448624085,0.9498,0.5771230502599654,0.9794117647058823,0.7262813522355507,0.5279084377212135,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,233,,,,,,,,,,,,,,,53.0,pizza,340.0,0.9923523100227215,0.969,0.6939203354297694,0.9735294117647059,0.8102815177478581,0.4767571567157446,0.0014579651603130461,0.019199999999999995,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,233,,,,,,,,,,,,,,,53.0,pizza,340.0,0.988839308255491,0.9118,0.4338138925294889,0.9735294117647059,0.600181323662738,0.5854462436622608,-0.0020550366069174153,-0.03799999999999992,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,77.0,teddy bear,291.0,0.955041125460568,0.8144,0.22985581000848176,0.9312714776632303,0.3687074829931973,0.527576940663808,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,233,,,,,,,,,,,,,,,77.0,teddy bear,291.0,0.9630129918653978,0.8742,0.3052995391705069,0.9106529209621993,0.457290767903365,0.4121144783864272,0.00797186640482983,0.059799999999999964,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,233,,,,,,,,,,,,,,,77.0,teddy bear,291.0,0.9422514027755581,0.603,0.12288512911843277,0.9484536082474226,0.21757981868348444,0.4246346143906411,-0.012789722685009886,-0.21140000000000003,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
