probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(0.7, 0.8]",18,0.7583584505833192,0.1111111111111111,0.03101952264561239,0.32799765130178804,0.5459387108896147,0.588373892046191
"(0.8, 0.9]",58,0.8560798812585331,0.10344827586206896,0.048281407423628964,0.2078810299248423,0.5459387108896147,0.588373892046191
"(0.9, 1.0]",164,0.9628454199243364,0.43902439024390244,0.3653286346200458,0.5155112952725673,0.5459387108896147,0.588373892046191
