probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(-0.001, 0.1]",13,0.07670549427533527,0.07692307692307693,0.013710421242556586,0.3331395092109959,0.2950558103655021,0.4435179631796754
"(0.1, 0.2]",30,0.146377898234212,0.0,0.0,0.11351339317396876,0.2950558103655021,0.4435179631796754
"(0.2, 0.3]",24,0.254691582019219,0.0,1.3877787807814457e-17,0.13797620467498017,0.2950558103655021,0.4435179631796754
"(0.3, 0.4]",34,0.34802874050492333,0.0,0.0,0.10151455415332376,0.2950558103655021,0.4435179631796754
"(0.4, 0.5]",25,0.44493002805475007,0.0,1.3877787807814457e-17,0.13319225093904846,0.2950558103655021,0.4435179631796754
"(0.5, 0.6]",24,0.5501427599016744,0.125,0.04344334080123444,0.31003881270500067,0.2950558103655021,0.4435179631796754
"(0.6, 0.7]",20,0.6556694385524289,0.05,0.008881448800795402,0.23613119344674205,0.2950558103655021,0.4435179631796754
"(0.7, 0.8]",27,0.7559995960659914,0.037037037037037035,0.006568145980785103,0.18283465933575843,0.2950558103655021,0.4435179631796754
"(0.8, 0.9]",25,0.8511433672648621,0.04,0.007096233501987265,0.19544063736193734,0.2950558103655021,0.4435179631796754
"(0.9, 1.0]",18,0.9429961950325337,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.2950558103655021,0.4435179631796754
