model,macro_auc_mean,macro_auc_std,micro_auc_mean,micro_auc_std,macro_accuracy_mean,macro_accuracy_std,micro_accuracy_mean,micro_accuracy_std,exact_match_accuracy_mean,exact_match_accuracy_std,macro_precision_mean,macro_precision_std,micro_precision_mean,micro_precision_std,macro_recall_mean,macro_recall_std,micro_recall_mean,micro_recall_std,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,run_count,macro_auc_ci95_low,macro_auc_ci95_high,micro_auc_ci95_low,micro_auc_ci95_high,macro_accuracy_ci95_low,macro_accuracy_ci95_high,micro_accuracy_ci95_low,micro_accuracy_ci95_high,exact_match_accuracy_ci95_low,exact_match_accuracy_ci95_high,macro_precision_ci95_low,macro_precision_ci95_high,micro_precision_ci95_low,micro_precision_ci95_high,macro_recall_ci95_low,macro_recall_ci95_high,micro_recall_ci95_low,micro_recall_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,micro_f1_ci95_low,micro_f1_ci95_high
M_0,0.9247284371292637,0.05453300752085986,0.9293313918270598,0.05489483327059531,0.79658,0.08399949470747496,0.79658,0.08399949470747496,0.60518,0.1650295986920057,0.3281763134367711,0.11586244216360861,0.3275413001013749,0.14251261348773575,0.9097457910602985,0.07870100463385375,0.9127656615550432,0.07843168952144648,0.4645213991573039,0.11210196847377854,0.4673081706942163,0.13923505619768947,10,0.8857178735958664,0.9637390006626609,0.8900619937448313,0.9686007899092883,0.7364903813629614,0.8566696186370385,0.7364903813629614,0.8566696186370385,0.4871249368861064,0.7232350631138937,0.24529331529240697,0.4110593115811353,0.22559391785499505,0.4294886823477547,0.853446483888642,0.9660450982319551,0.8566590108089295,0.968872312301157,0.38432848183668067,0.5447143164779271,0.36770541168998555,0.566910929698447
M_1,0.9311539133608667,0.052258159240554485,0.9356607940803066,0.05238639416930691,0.82887,0.1146120320424033,0.82887,0.1146120320424033,0.66986,0.2210597918110744,0.4243587119413464,0.19736372371265196,0.4182288910334059,0.22007841389229169,0.8885616065322465,0.07742199860617649,0.8900737059797971,0.0804896721743265,0.5395191835141452,0.16338499661567046,0.5381691718120152,0.18669793495046405,10,0.8937706782548214,0.9685371484669121,0.8981858252323915,0.9731357629282216,0.7468814913711357,0.9108585086288643,0.7468814913711357,0.9108585086288643,0.5117233512955106,0.8279966487044894,0.28317320919541455,0.5655442146872782,0.26079427780048475,0.575663504266327,0.8331772451552669,0.943945967909226,0.8324948631305777,0.9476525488290164,0.4226405978531316,0.6563977691751587,0.40461351471473883,0.6717248289092915
M_rand,0.9072073982679457,0.06300326570775971,0.9106304297669121,0.06539406031450061,0.75982,0.08110649789011973,0.75982,0.08110649789011973,0.5335,0.15557012709528922,0.2887122213135529,0.10389349459696154,0.2825497760273224,0.13910529456768223,0.8948590734555015,0.07159464452217719,0.8972031260921774,0.07228900273502228,0.4186472506218898,0.09924329979555131,0.41518025790895496,0.13672596422434244,10,0.862137577045195,0.9522772194906964,0.863850337111472,0.9574105224223523,0.7017999066152077,0.8178400933847924,0.7017999066152077,0.8178400933847924,0.42221183521965083,0.6447881647803492,0.21439129246819053,0.36303315015891524,0.18303984290124736,0.38205970915339743,0.8436433500660473,0.9460747968449558,0.845490688759947,0.9489155634244079,0.3476528707418251,0.4896416305019545,0.3173723951755736,0.5129881206423363
