run,false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001,0.0301729106628242,0.0271546635182998,0.061700288184438,0.0625737898465171,0.0384092219020172,0.037780401416765
1,0.002,0.0768731988472622,0.0590318772136954,0.0887867435158501,0.089728453364817,0.0679048991354466,0.0649350649350649
1,0.003,0.0950778097982709,0.0979929161747343,0.1441325648414985,0.140495867768595,0.0884322766570605,0.0885478158205431
1,0.004,0.1249279538904899,0.1109799291617473,0.1701008645533141,0.1593860684769775,0.1001959654178674,0.1050767414403778
1,0.005,0.1621873198847262,0.1357733175914994,0.1881873198847262,0.1865407319952774,0.1348097982708933,0.127508854781582
1,0.006,0.1859193083573487,0.1558441558441558,0.2073919308357348,0.2030696576151121,0.1465734870317002,0.1393152302243211
1,0.007,0.2067694524495677,0.1676505312868949,0.2464466858789625,0.2373081463990554,0.167864553314121,0.1546635182998819
1,0.008,0.2298559077809798,0.1818181818181818,0.2808242074927953,0.2739079102715466,0.1727463976945245,0.1593860684769775
1,0.009,0.2382968299711815,0.1948051948051948,0.2967925072046109,0.2951593860684769,0.1908328530259366,0.1782762691853601
1,0.01,0.2582651296829971,0.2030696576151121,0.3167608069164265,0.3093270365997638,0.1980374639769452,0.1853600944510035
1,0.011,0.2645878962536023,0.2266824085005903,0.3420518731988473,0.3282172373081464,0.2043602305475504,0.1971664698937426
1,0.012,0.269028818443804,0.2384887839433294,0.3591383285302593,0.3506493506493506,0.2132420749279538,0.2077922077922078
1,0.013,0.279028818443804,0.2609208972845336,0.3765475504322766,0.3600944510035419,0.2248876080691642,0.2160566706021251
1,0.014,0.2983198847262248,0.2668240850059032,0.387193083573487,0.3707201889020071,0.2360922190201729,0.2290436835891381
1,0.015,0.3022017291066282,0.2798110979929162,0.3983976945244957,0.3825265643447462,0.2425331412103746,0.2384887839433294
1,0.016,0.3139654178674351,0.2845336481700118,0.4082795389048991,0.3860684769775679,0.2518559077809798,0.2455726092089728
1,0.017,0.3202881844380403,0.2998819362455726,0.4181613832853026,0.396694214876033,0.261178674351585,0.2550177095631641
1,0.018,0.3428155619596542,0.3046044864226682,0.4309250720461094,0.4155844155844156,0.2706195965417867,0.2703659976387249
1,0.019,0.3559020172910663,0.3105076741440378,0.4450115273775216,0.4262101534828807,0.2793832853025936,0.2739079102715466
1,0.02,0.3694293948126801,0.3234946871310508,0.4582161383285302,0.4391971664698937,0.2901469740634005,0.2774498229043683
1,0.021,0.3768703170028818,0.3293978748524203,0.4699798270893371,0.4521841794569067,0.2989106628242075,0.2880755608028335
1,0.022,0.3870749279538905,0.3435655253837072,0.4821844380403458,0.4616292798110979,0.3023515850144092,0.2927981109799291
1,0.023,0.3942795389048991,0.3494687131050767,0.489507204610951,0.4722550177095632,0.3259654178674351,0.2951593860684769
1,0.024,0.4089250720461095,0.3541912632821724,0.4962708933717579,0.4781582054309327,0.333729106628242,0.3010625737898465
1,0.025,0.4214524495677233,0.358913813459268,0.5087982708933718,0.4852420306965762,0.3351700288184438,0.3081463990554899
1,0.026,0.4228933717579251,0.3695395513577332,0.5122391930835735,0.4923258559622196,0.3380518731988473,0.3270365997638725
1,0.027,0.4330979827089337,0.3766233766233766,0.519121037463977,0.499409681227863,0.3453746397694525,0.3412042502951594
1,0.028,0.4408616714697406,0.3778040141676505,0.5270028818443804,0.5088547815820543,0.3575792507204611,0.345926800472255
1,0.029,0.4423025936599424,0.3872491145218418,0.5367665706051873,0.5194805194805194,0.3644610951008645,0.3518299881936245
1,0.03,0.4481844380403458,0.3907910271546635,0.545207492795389,0.5242030696576151,0.3766657060518732,0.358913813459268
1,0.031,0.4589481268011527,0.4037780401416765,0.5490893371757926,0.5324675324675324,0.3868703170028819,0.3624557260920897
1,0.032,0.463270893371758,0.4191263282172373,0.5555302593659942,0.538370720188902,0.3975158501440922,0.3730814639905549
1,0.033,0.4721527377521614,0.4238488783943329,0.5647348703170029,0.5489964580873672,0.4042795389048991,0.3813459268004722
1,0.034,0.4775936599423631,0.4297520661157025,0.5750576368876081,0.5596221959858324,0.4067204610951008,0.3884297520661157
1,0.035,0.4834755043227665,0.4380165289256198,0.5829394812680115,0.5667060212514758,0.4137204610951008,0.3931523022432113
1,0.036,0.4941210374639769,0.4391971664698937,0.5927031700288184,0.5737898465171193,0.4191613832853026,0.4049586776859504
1,0.037,0.4985619596541786,0.4510035419126328,0.5951440922190201,0.5832349468713105,0.4201613832853026,0.4108618654073199
1,0.038,0.5063256484149856,0.4580873671782762,0.6020259365994236,0.58913813459268,0.4246023054755043,0.4191263282172373
1,0.039,0.5130893371757925,0.4592680047225502,0.6099077809798271,0.5938606847697757,0.4289250720461095,0.422668240850059
1,0.04,0.5175302593659943,0.4793388429752066,0.619671469740634,0.5974025974025974,0.4333659942363112,0.4273907910271546
1,0.041,0.5214121037463977,0.4817001180637544,0.6235533141210374,0.602125147579693,0.436806916426513,0.4309327036599764
1,0.042,0.5286167146974063,0.4887839433293979,0.6304351585014409,0.6115702479338843,0.4470115273775216,0.435655253837072
