scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9533271760593858,0.9560584386047228,0.8045,0.8045,0.615,0.27721994535519123,0.2708174178762414,0.9397980266486761,0.9390728476821192,0.42700054986124597,0.42039727245775277,0.4148501242818641,0.3559615114059475,0.4737387371577806,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,100,200,0.9537235667587379,0.9559519912320602,0.897,0.897,0.7974,0.41556163383272027,0.41496598639455784,0.8909210378366222,0.8887417218543047,0.5657442104634189,0.5657672849915683,0.4229592834415353,0.2817249015900783,0.5641936652929923,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,100,200,0.942068595349968,0.9437049559633093,0.8551,0.8551,0.7126,0.34667969050439174,0.32923228346456695,0.8866377129364142,0.8860927152317881,0.4944923784872016,0.48008611410118407,0.6372004406562681,0.6315653593246764,0.64283552198786,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,3.0,motorcycle,363.0,0.9764542121669576,0.847,0.31693989071038253,0.9586776859504132,0.47638603696098564,0.3559615114059475,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,100,200,,,,,,,,,,,,,,,3.0,motorcycle,363.0,0.976365097838621,0.8948,0.40423031727379555,0.9476584022038568,0.5667215815485996,0.2817249015900783,-8.91143283365814e-05,0.047800000000000065,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,100,200,,,,,,,,,,,,,,,3.0,motorcycle,363.0,0.9642811949162058,0.9028,0.42084942084942084,0.9008264462809917,0.5736842105263158,0.64283552198786,-0.012173017250751816,0.05580000000000007,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,16.0,dog,392.0,0.930200139951814,0.762,0.2375,0.9209183673469388,0.3776150627615063,0.4737387371577806,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,100,200,,,,,,,,,,,,,,,16.0,dog,392.0,0.9310820356788548,0.8992,0.42689295039164493,0.8341836734693877,0.5647668393782384,0.5641936652929923,0.0008818957270407823,0.1372,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,100,200,,,,,,,,,,,,,,,16.0,dog,392.0,0.9198559957837302,0.8074,0.2725099601593626,0.8724489795918368,0.41530054644808745,0.6315653593246764,-0.010344144168083824,0.045399999999999996,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
