scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9048650710116647,0.9357778586985133,0.8147,0.8147,0.6626,0.5277585303721459,0.6434072345390899,0.8514357985289953,0.8945489941596366,0.6144121701975395,0.7484729197773856,0.4001304066071398,0.3481292657512262,0.45213154746305334,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,120,224,0.9141323634327836,0.9436732116783253,0.8497,0.8497,0.7194,0.5714607623162241,0.7016602809706258,0.8462706357770992,0.8913043478260869,0.6511157495777317,0.7851936544233242,0.3765943238185795,0.3219185405123814,0.43127010712477765,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,120,224,0.8974605153379964,0.9330557889687277,0.8095,0.8095,0.6564,0.5309829787969906,0.6388954448902525,0.8421559173114749,0.8783257624918884,0.606530707408672,0.7397185407842601,0.5044079781998052,0.43657117962032327,0.5722447767792872,,,,,,,,,,,,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,0.0,person,2694.0,0.9373001968332828,0.8396,0.8147039254823686,0.9090571640683,0.8592982456140351,0.45213154746305334,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,224,,,,,,,,,,,,,,,0.0,person,2694.0,0.9471930492160472,0.8658,0.8535477105907026,0.9064587973273942,0.8792079207920792,0.43127010712477765,0.009892852382764383,0.0262,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,224,,,,,,,,,,,,,,,0.0,person,2694.0,0.9378247958426132,0.848,0.8376396648044693,0.8904974016332591,0.863260165527168,0.5722447767792872,0.0005245990093304398,0.008399999999999963,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,58.0,potted plant,388.0,0.8724299451900466,0.7898,0.24081313526192338,0.7938144329896907,0.3695260947810438,0.3481292657512262,0.0,0.0,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,224,,,,,,,,,,,,,,,58.0,potted plant,388.0,0.8810716776495201,0.8336,0.2893738140417457,0.7860824742268041,0.42302357836338417,0.3219185405123814,0.008641732459473528,0.04380000000000006,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,224,,,,,,,,,,,,,,,58.0,potted plant,388.0,0.8570962348333796,0.771,0.22432629278951202,0.7938144329896907,0.34980124929017603,0.43657117962032327,-0.015333710356666974,-0.018799999999999928,0.0001,1.0,0.01,staged_maximum_cv_macro_roc_auc
