scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9446100858152909,0.9464708441031559,0.7291,0.7291,0.4638,0.21634257215652566,0.19498357718722006,0.979865893439652,0.9804804804804805,0.3482479502846102,0.325280199252802,0.32730276684699855,0.18392703596191856,0.4706784977320786,,,,,,,,,,,,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,40,77,0.9461936794614205,0.9485216950398009,0.748,0.748,0.4988,0.2678958237971837,0.20477707006369428,0.9656125407756433,0.9654654654654654,0.40037216473478876,0.3378875459800315,0.3811242908457245,0.3110652639610709,0.4511833177303781,,,,,,,,,,,,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,40,77,0.9423596517640986,0.9460413381026195,0.7433000000000001,0.7433,0.4884,0.24042049686854405,0.20250391236306728,0.9710221094599492,0.9714714714714715,0.37432178520911186,0.33514633514633513,0.46549528746507096,0.44957724738180127,0.4814133275483407,,,,,,,,,,,,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,28.0,suitcase,310.0,0.9273223743035972,0.6294,0.14032634032634034,0.9709677419354839,0.24521384928716905,0.4706784977320786,0.0,0.0,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,40,77,,,,,,,,,,,,,,,28.0,suitcase,310.0,0.9300921658986175,0.5994,0.13083296990841692,0.967741935483871,0.2305032654629274,0.3110652639610709,0.0027697915950203322,-0.029999999999999916,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,40,77,,,,,,,,,,,,,,,28.0,suitcase,310.0,0.9247836852603344,0.621,0.1369674759505268,0.964516129032258,0.23987164059366226,0.4814133275483407,-0.0025386890432628206,-0.008399999999999963,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,42.0,fork,356.0,0.9618977973269847,0.8288,0.292358803986711,0.9887640449438202,0.4512820512820513,0.18392703596191856,0.0,0.0,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,40,77,,,,,,,,,,,,,,,42.0,fork,356.0,0.9622951930242236,0.8966,0.4049586776859504,0.9634831460674157,0.5702410640066501,0.4511833177303781,0.00039739569723895585,0.06779999999999997,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,40,77,,,,,,,,,,,,,,,42.0,fork,356.0,0.959935618267863,0.8656,0.3438735177865613,0.9775280898876404,0.5087719298245614,0.44957724738180127,-0.0019621790591216604,0.036800000000000055,0.0001,1.0,0.001,staged_maximum_cv_macro_roc_auc
