probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(0.7, 0.8]",7,0.7676109814998745,0.0,5.551115123125783e-17,0.35433043506668743,0.5137450603890301,0.5600081589961363
"(0.8, 0.9]",24,0.8503579080776955,0.16666666666666666,0.06678676328632951,0.3585307064969906,0.5137450603890301,0.5600081589961363
"(0.9, 1.0]",49,0.9391588990883081,0.46938775510204084,0.3370350369317515,0.6061913601633808,0.5137450603890301,0.5600081589961363
