scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.8824928050298806,0.884357113641104,0.8386,0.8386,0.7002,0.32154266792589226,0.3148237566393047,0.7816311239193083,0.7697756788665879,0.45560576653117024,0.4468814256339959,0.46811793803153534,0.4248547062648013,0.5113811697982694,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,160,320,0.9165897408185726,0.9205704260678785,0.9043,0.9043,0.8296,0.45865498153722245,0.45852187028657615,0.7389538904899136,0.717827626918536,0.5611214517588932,0.5595950299125633,0.43192217640841724,0.3672898658843772,0.4965544869324573,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,160,320,0.8184751023026884,0.8148520281799981,0.6936,0.6936,0.423,0.18553351573187415,0.18445772843723313,0.7789538904899136,0.7650531286894924,0.297282357449124,0.29724770642201837,0.4793326482090432,0.4416150627895836,0.5170502336285028,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,42.0,fork,347.0,0.9296447211708724,0.8826,0.35507246376811596,0.8472622478386167,0.5004255319148936,0.4248547062648013,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,160,320,,,,,,,,,,,,,,,42.0,fork,347.0,0.952161259414923,0.9156,0.4439461883408072,0.8559077809798271,0.5846456692913385,0.3672898658843772,0.022516538244050643,0.03299999999999992,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,160,320,,,,,,,,,,,,,,,42.0,fork,347.0,0.864217315716488,0.6822,0.16176470588235295,0.8559077809798271,0.2721026110856619,0.4416150627895836,-0.06542740545438441,-0.20040000000000002,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,45.0,bowl,500.0,0.8353408888888888,0.7946,0.28801287208366855,0.716,0.41078600114744696,0.5113811697982694,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,160,320,,,,,,,,,,,,,,,45.0,bowl,500.0,0.8810182222222223,0.893,0.4733637747336377,0.622,0.5375972342264477,0.4965544869324573,0.04567733333333346,0.09840000000000004,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,160,320,,,,,,,,,,,,,,,45.0,bowl,500.0,0.7727328888888889,0.705,0.20930232558139536,0.702,0.3224621038125861,0.5170502336285028,-0.06260799999999989,-0.08960000000000001,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
