probability_bin,selected_count,mean_predicted_probability,observed_positive_fraction,ci95_low,ci95_high,overall_brier_score,overall_ece
"(-0.001, 0.1]",5,0.07837900656429367,0.0,0.0,0.43448246478317476,0.26725350736643466,0.43424666139423274
"(0.1, 0.2]",13,0.15879537910058245,0.0,0.0,0.22809537235419838,0.26725350736643466,0.43424666139423274
"(0.2, 0.3]",6,0.23816571663245026,0.0,2.7755575615628914e-17,0.3903342879021653,0.26725350736643466,0.43424666139423274
"(0.3, 0.4]",12,0.33876129547264605,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.26725350736643466,0.43424666139423274
"(0.4, 0.5]",8,0.44568513494841355,0.0,0.0,0.32440756488388023,0.26725350736643466,0.43424666139423274
"(0.5, 0.6]",9,0.5399362614168532,0.0,0.0,0.2991450484195441,0.26725350736643466,0.43424666139423274
"(0.6, 0.7]",9,0.6372488995708413,0.0,0.0,0.2991450484195441,0.26725350736643466,0.43424666139423274
"(0.7, 0.8]",7,0.7523226702401293,0.0,5.551115123125783e-17,0.35433043506668743,0.26725350736643466,0.43424666139423274
"(0.8, 0.9]",8,0.8221099538360684,0.0,0.0,0.32440756488388023,0.26725350736643466,0.43424666139423274
"(0.9, 1.0]",3,0.9286940846990364,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.26725350736643466,0.43424666139423274
