scope,model,test_image_count,evaluated_class_count,selection_k_per_class,selected_unique_image_count,macro_auc,micro_auc,macro_accuracy,micro_accuracy,exact_match_accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,mean_decision_threshold,min_decision_threshold,max_decision_threshold,label_id,label_name,positive_test_count,class_auc,class_accuracy,class_precision,class_recall,class_f1,decision_threshold,auc_change_vs_M_0,accuracy_change_vs_M_0,probability_lambda,selected_data_weight,logistic_regression_C,hyperparameter_selection_rule
overall,M_0,5000,2.0,0,0,0.9627110265022443,0.9638318112505767,0.8437,0.8437,0.6926,0.2923216932887731,0.2847836202885063,0.9583636092171404,0.9592476489028213,0.4440347919214432,0.43918191603875134,0.43731341628116255,0.3964724421727914,0.4781543903895337,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_1,5000,2.0,120,240,0.9674175048003855,0.9681236560255927,0.897,0.897,0.7974,0.4262570183712887,0.375,0.9234857910715175,0.9216300940438872,0.5619385246180776,0.5330915684496826,0.41166456835602766,0.28034323455081656,0.5429859021612388,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
overall,M_rand,5000,2.0,120,240,0.9495675429308539,0.9501339035479252,0.8106,0.8106,0.6234,0.24544573643410855,0.24283374283374284,0.9273030408600009,0.9294670846394985,0.3863415947025768,0.38506493506493505,0.5948759191126946,0.5591067727659121,0.630645065459477,,,,,,,,,,,,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,49.0,orange,283.0,0.9530440606152769,0.812,0.22510460251046024,0.950530035335689,0.36400541271989173,0.3964724421727914,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,240,,,,,,,,,,,,,,,49.0,orange,283.0,0.9612962961575714,0.8448,0.25951219512195123,0.9399293286219081,0.40672782874617736,0.28034323455081656,0.008252235542294484,0.03279999999999994,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,240,,,,,,,,,,,,,,,49.0,orange,283.0,0.9411339033089098,0.7882,0.1992248062015504,0.9081272084805654,0.3267641449459631,0.5591067727659121,-0.01191015730636713,-0.023800000000000043,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_0,5000,,0,0,,,,,,,,,,,,,,,59.0,bed,355.0,0.9723779923892115,0.8754,0.35953878406708595,0.9661971830985916,0.5240641711229946,0.4781543903895337,0.0,0.0,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_1,5000,,120,240,,,,,,,,,,,,,,,59.0,bed,355.0,0.9735387134431995,0.9492,0.5930018416206262,0.9070422535211268,0.7171492204899778,0.5429859021612388,0.001160721053988012,0.07380000000000009,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
class,M_rand,5000,,120,240,,,,,,,,,,,,,,,59.0,bed,355.0,0.958001182552798,0.833,0.2916666666666667,0.9464788732394366,0.44591904445919045,0.630645065459477,-0.01437680983641354,-0.04239999999999999,0.001,1.0,0.01,staged_maximum_cv_macro_roc_auc
