lambda,selected_data_weight,C,selection_k_per_class,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.001,1.0,0.01,120,0.9892933769808359,0.003222386504015931,3,0.9892971936909637,0.0030458166874164482,203.33333333333334,0.0018604457155266148,0.0017585030843821406,True
0.001,1.0,0.01,140,0.9892810783705789,0.0032011143653467495,3,0.9892871029550666,0.0030283431284649624,204.0,0.001848164240539724,0.0017484147204177996,True
0.001,1.0,0.01,160,0.9892810783705789,0.0032011143653467495,3,0.9892871029550666,0.0030283431284649624,204.0,0.001848164240539724,0.0017484147204177996,True
0.001,1.0,0.01,180,0.9892810783705789,0.0032011143653467495,3,0.9892871029550666,0.0030283431284649624,204.0,0.001848164240539724,0.0017484147204177996,True
0.001,1.0,0.01,200,0.9892810783705789,0.0032011143653467495,3,0.9892871029550666,0.0030283431284649624,204.0,0.001848164240539724,0.0017484147204177996,True
0.001,1.0,0.01,100,0.9892490957941432,0.0031411306628305637,3,0.9892342402110096,0.0030813869830229553,190.66666666666666,0.0018135326337450136,0.0017790396041257122,True
0.001,1.0,0.01,80,0.9890771098139166,0.0033572396154222125,3,0.98911570906435,0.0032914117485862994,157.66666666666666,0.00193830319569809,0.001900297459060197,True
0.001,1.0,0.01,40,0.9887269425251582,0.0033179889524142794,3,0.9887525429229473,0.0031828071660756642,79.33333333333333,0.0019156418148445888,0.0018375945741124547,True
0.001,1.0,0.01,60,0.988722728689666,0.0036130074985362705,3,0.9887921900319497,0.0035159093634442155,119.33333333333333,0.0020859708518640523,0.002029911217430844,True
0.005,1.0,0.01,40,0.9886910798847227,0.0033123457099952076,3,0.9886853890743191,0.003405471705119008,80.0,0.0019123836873148352,0.0019661500056681134,True
0.0001,1.0,0.01,40,0.9884259949893495,0.0031659381449232055,3,0.9884131300259164,0.0031388903975193626,52.333333333333336,0.0018278552402091171,0.0018122392159645355,True
0.025,1.0,0.01,40,0.9882458404694413,0.0036993112402266405,3,0.9882242002197046,0.0037670217589263174,80.0,0.002135798340361059,0.002174891026559287,True
0.005,0.1,0.01,40,0.9882449102986398,0.0036722206631983577,3,0.9882077388073348,0.003760569973623568,80.0,0.002120157588421278,0.002171166086577991,True
0.001,0.1,0.01,40,0.9882365457274459,0.0036418113113023246,3,0.9882200588979108,0.00366137497514896,79.33333333333333,0.0021026007409182213,0.0021138958275064117,True
0.01,1.0,0.01,40,0.98819264933893,0.003638673204036671,3,0.9881594460193149,0.0037412944993282537,80.0,0.00210078895384365,0.0021600373863048337,True
0.025,10.0,0.01,40,0.9881786543587728,0.004022359511686179,3,0.9880343342990702,0.0042155120108931955,80.0,0.0023223103468494673,0.002433826994261287,True
0.0001,0.1,0.01,40,0.9881680691199907,0.003595330489021897,3,0.9881676408078839,0.003661952674859765,52.333333333333336,0.002075765025662461,0.0021142293625899555,True
0.005,10.0,0.1,40,0.9880807891386175,0.005038098621896966,3,0.9880527935867178,0.004857229510894885,80.0,0.002908747595556096,0.0028043227656309564,True
0.01,0.1,0.01,40,0.9880744559340275,0.0037180961477944648,3,0.988065754556889,0.0037989723084338118,80.0,0.002146643811802045,0.002193337684918195,True
0.001,0.01,0.01,40,0.9880740728199924,0.0037276932304101786,3,0.9880514661074388,0.003812091222149887,79.33333333333333,0.0021521846900336623,0.002200911893283647,True
0.001,1.0,0.01,20,0.9880637110077108,0.0036989850712971,3,0.9879726757711422,0.0037120867269558465,40.0,0.0021356100266417878,0.0021431742710631948,True
0.005,0.01,0.01,40,0.9880619586479881,0.003729350200959018,3,0.9880534906659677,0.0038165696311827624,80.0,0.002153141342426074,0.0022034975039443186,True
0.01,0.01,0.01,40,0.98805421177864,0.0037171606411276386,3,0.9880312020393459,0.0038118625732379815,80.0,0.002146103696776124,0.0022007798827728083,True
0.025,0.1,0.01,40,0.9880540151226676,0.0037300990254945693,3,0.9880413385980406,0.0038287425131498594,80.0,0.0021535736764732505,0.002210525520624836,True
