data_seed,selection_grid,fold,lambda,selected_data_weight,C,selected_count,selection_k_per_class,evaluated_class_count,macro_auc,micro_auc
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,0.1,80,40,2,0.9932655721730522,0.993261406567858
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,0.1,80,40,2,0.9930953290797292,0.993103991087862
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,0.1,80,40,2,0.9930833072480828,0.9931100455294004
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,0.1,80,40,2,0.9932543806772384,0.9932735154509348
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,1.0,79,40,2,0.9923847774709283,0.9923048048048048
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,1.0,79,40,2,0.9919054084495146,0.9918446672478932
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,1.0,79,40,2,0.991565199041479,0.9915358907294392
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,1.0,80,40,2,0.991948116631112,0.9918931027801996
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,1.0,80,40,2,0.9918748785267912,0.9917175239755884
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,1.0,80,40,2,0.9917865740261056,0.9916206529109756
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,1.0,80,40,2,0.9921533181049308,0.9920747360263488
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,1.0,80,40,2,0.992444333071938,0.992329022570958
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,1.0,80,40,2,0.9925807248992088,0.9924622202848008
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,1.0,80,40,2,0.9921166990527706,0.9920626271432724
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,1.0,80,40,2,0.9922371941478438,0.9921594982078852
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,1.0,80,40,2,0.992276580986112,0.9921655526494236
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.01,10.0,79,40,2,0.990451994286142,0.9904400368110048
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,0.1,10.0,79,40,2,0.9901344446483452,0.9901312602925506
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.001,1.0,10.0,79,40,2,0.9896419466808422,0.9896559866317932
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.01,10.0,80,40,2,0.9912633475708824,0.991260413639446
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,0.1,10.0,80,40,2,0.990967152023884,0.9909909909909912
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.005,1.0,10.0,80,40,2,0.99118465210796,0.9911544609125252
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.01,10.0,80,40,2,0.9910745181728682,0.991184733120217
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,0.1,10.0,80,40,2,0.9911103068891962,0.9912150053279084
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.01,1.0,10.0,80,40,2,0.9909182343614666,0.9910787803932964
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.01,10.0,80,40,2,0.9908335279827212,0.9908577932771482
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,0.1,10.0,80,40,2,0.990821506151075,0.9909062288094546
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.025,1.0,10.0,80,40,2,0.9908709773707138,0.9910000726532984
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,0.0001,80,40,2,0.9775174986532672,0.97695200824144
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,0.0001,80,40,2,0.9775297969610202,0.9770068698986276
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,0.0001,80,40,2,0.977713735001931,0.9772689867051918
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,0.0001,80,40,2,0.9775894999151782,0.9769824869398778
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,0.0001,80,40,2,0.9775413798349306,0.9769702954605026
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,0.0001,80,40,2,0.9768240071667011,0.9764125352790932
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,0.0001,80,40,2,0.9775657975919756,0.9769824869398775
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,0.0001,80,40,2,0.9774684842807164,0.976848380666752
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,0.0001,80,40,2,0.97643332305398,0.9758182006595588
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,0.0001,80,40,2,0.9775046637701326,0.97692762528269
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,0.0001,80,40,2,0.9774686631391772,0.9769093380636272
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,0.0001,80,40,2,0.9762632930469676,0.9758303921389342
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,0.001,80,40,2,0.9823568219421384,0.98164572780084
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,0.001,80,40,2,0.9824667912780716,0.981749355375528
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,0.001,80,40,2,0.9827238037316572,0.9822857804680308
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,0.001,80,40,2,0.98240601517315,0.9816518235405276
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,0.001,80,40,2,0.9824302540717342,0.9817554511152156
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,0.001,80,40,2,0.9824658969857684,0.9821211954964676
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,0.001,80,40,2,0.982478910727364,0.9816762064992776
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,0.001,80,40,2,0.9823814185576442,0.9816213448420898
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,0.001,80,40,2,0.9820770014576536,0.9813836109942762
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,0.001,80,40,2,0.9824544929703188,0.9816762064992776
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,0.001,80,40,2,0.9824423735210266,0.9816823022389652
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,0.001,80,40,2,0.982028344802024,0.9813348450767758
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.01,0.01,80,40,2,0.9854783599577746,0.9852361184767966
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,0.1,0.01,80,40,2,0.985880090369024,0.985699394693049
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.001,1.0,0.01,80,40,2,0.9873144779885618,0.987198946656182
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,0.01,80,40,2,0.9854535844838082,0.985230022737109
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,0.01,80,40,2,0.985795075365518,0.9855165225024228
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,0.01,80,40,2,0.986707790090108,0.9864796493730532
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,0.01,80,40,2,0.9854416438929764,0.9851995440386714
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,0.01,80,40,2,0.9854781810993138,0.9852361184767966
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,0.01,80,40,2,0.9855639115366626,0.9852848843942968
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,0.01,80,40,2,0.9853199128246724,0.9851081079433583
