label_id,label_name,positive_test_count,M_0_auc,M_1_auc,auc_change
20,elephant,206,0.9991296849061504,0.9991344094738024,4.7245676522145175e-06
34,baseball bat,268,0.9949414029543956,0.9949442791182832,2.8761638876106943e-06
53,pizza,366,0.9946838294603312,0.9946921551594216,8.325699090483418e-06
56,chair,1892,0.8367802255883652,0.8368042138212998,2.3988232934590847e-05
67,cell phone,642,0.8258823074309005,0.8259220929173511,3.97854864505609e-05
